"","iso2c","year","country","RR_Independence","RR_CurrencyCrisis","RR_InflationCrisis","RR_StockMarketCrash","RR_SovDebtCrisisDom","RR_SovDebtCrisisExt","RR_BankingCrisis","RR_YearlyCrisisTally","LV2012.Fiscal","Keefer2007.Fiscal","Honohan2003.Fiscal","HonohanCrisisOngoing","ongoingLV","polity2"
"245","AT",1813,"Austria","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-10
"246","AT",1814,"Austria","1","0","1","0","0","1","0","2",NA,NA,NA,NA,NA,-10
"247","AT",1815,"Austria","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,-10
"248","AT",1816,"Austria","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,-10
"249","AT",1817,"Austria","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,-10
"250","AT",1818,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"251","AT",1819,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"252","AT",1820,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"253","AT",1821,"Austria","1","0","1","0","0","0","0","1",NA,NA,NA,NA,NA,-10
"254","AT",1822,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"255","AT",1823,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"256","AT",1824,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"257","AT",1825,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"258","AT",1826,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"259","AT",1827,"Austria","1","0","1","0","0","0","0","1",NA,NA,NA,NA,NA,-10
"260","AT",1828,"Austria","1","0","1","0","0","0","0","1",NA,NA,NA,NA,NA,-10
"261","AT",1829,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"262","AT",1830,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"263","AT",1831,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"264","AT",1832,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"265","AT",1833,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"266","AT",1834,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"267","AT",1835,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"268","AT",1836,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"269","AT",1837,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
"270","AT",1838,"Austria","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-10
